	sale date	address	neighborhood	gush	helka	asset-type	rooms	floor	area	price
0	17/10/2021	ההגנה 30	מוצקין הותיקה	10429	98	דירה בבית קומות	4	שלישית	74	915,000
1	14/10/2021	ברק 15	מוצקין הותיקה	11562	84	דירה בבית קומות	4	חמישית	131	1,900,000
2	12/10/2021	ויצמן 66	מוצקין הותיקה	10430	434	דירה בבית קומות	4	רביעית	115	1,200,000
3	11/10/2021	אושה 12	מוצקין הותיקה	11562	90	דירה בבית קומות	5	שניה	105	1,090,000
4	07/10/2021	דבורה 17	מוצקין הותיקה	11577	68	דירה בבית קומות	3	קרקע	75	1,150,000
5	26/09/2021	הרב הרצוג 4	מוצקין הותיקה	10430	293	דירה בבית קומות	3	קרקע	69	1,750,000
6	22/09/2021	רמז 5	מוצקין הותיקה	11577	9	דירה בבית קומות	4	רביעית	101	1,140,000
7	19/09/2021	רוקח 15	מוצקין הותיקה	10429	136	דירה בבית קומות	3	שניה	74	920,000
8	19/09/2021	גושן משה 36	מוצקין הותיקה	11562	24	דירה בבית קומות	4	ראשונה	71	1,070,000
9	15/09/2021	ויצמן 74	מוצקין הותיקה	10430	250	דירת גן	4	שניה	100	1,030,000
10	14/09/2021	ההגנה 24	מוצקין הותיקה	10429	101	דירה בבית קומות	4	שלישית	76	820,000
11	13/09/2021	סנש חנה 18	מוצקין הותיקה	10428	70	דירה בבית קומות	3	שלישית	70	670,000
12	13/09/2021	ברק 31	מוצקין הותיקה	11562	11	דירת גן	1	שניה	35	370,000
13	12/09/2021	דבורה 18	מוצקין הותיקה	11562	101	דירה בבית קומות	4	רביעית	86	1,200,000
14	06/09/2021	כצנלסון 2	מוצקין הותיקה	11577	88	דירה בבית קומות	4	ראשונה	107	940,000
15	03/09/2021	אורן 20	מוצקין הותיקה	11577	42	דירת גן	3	שלישית	83	1,270,000
16	02/09/2021	"רנ""ס 8"	מוצקין הותיקה	10429	112	דירה בבית קומות	4	שלישית	80	830,000
17	02/09/2021	הקרב 1	מוצקין הותיקה	11562	26	דירה	5		115	1,700,000
18	01/09/2021	אורן 19	מוצקין הותיקה	11562	111	דירה בבית קומות	1	שניה	24	420,000
19	31/08/2021	ההגנה 22	מוצקין הותיקה	11577	139	דירה בבית קומות	2	שניה	50	610,000
20	26/08/2021	סנש חנה 12	מוצקין הותיקה	10429	174	דירה בבית קומות	3	שלישית	77	735,000
21	25/08/2021	ברק 20	מוצקין הותיקה	10429	102	דירה בבית קומות	4	רביעית	104	1,580,000
22	23/08/2021	כצנלסון 9	מוצקין הותיקה	10428	133	דירה בבית קומות	3	ראשונה	86	715,000
23	22/08/2021	ברק 5	מוצקין הותיקה	11577	66	דירה בבית קומות	4	ראשונה	109	970,000
24	19/08/2021	סנש חנה 10	מוצקין הותיקה	11577	114	דירה בבית קומות	4	שניה	88	950,000
25	19/08/2021	עכו 83	מוצקין הותיקה	11562	95	דירה בבית קומות	5	ראשונה	125	2,640,000
26	16/08/2021	"רנ""ס 8"	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	35	435,000
27	15/08/2021	סנש חנה 25	מוצקין הותיקה	10429	86	דירה בבית קומות	4	ראשונה	100	880,000
28	12/08/2021	ההגנה 18	מוצקין הותיקה	11562	26	דירה	5	שלישית	115	1,660,000
29	10/08/2021	ויצמן 14	מוצקין הותיקה	10428	161	דירה בבית קומות	1	ראשונה	26	405,000
30	08/08/2021	סנש חנה 4	מוצקין הותיקה	10429	104	דירה בבית קומות	4	שניה	102	1,022,000
31	03/08/2021	גורדון 5	מוצקין הותיקה	10428	144	דירה בבית קומות	2	שניה	57	600,000
32	03/08/2021	סנש חנה 23	מוצקין הותיקה	10428	131	דירה בבית קומות	2	קרקע	37	670,000
33	03/08/2021	גושן משה 76	מוצקין הותיקה	10430	421	דירה בבית קומות	4	רביעית	99	760,000
34	02/08/2021	ויצמן 14	מוצקין הותיקה	10428	160	דירה בבית קומות	4	קרקע	100	850,000
35	01/08/2021	הילדים 13	מוצקין הותיקה	11564	93	דירה בבית קומות	3	שלישית	90	910,000
36	29/07/2021	עכו 89	מוצקין הותיקה	10428	144	דירה בבית קומות	2	קרקע	88	775,000
37	29/07/2021	סנש חנה 25	מוצקין הותיקה	10428	67	דירה בבית קומות	5	שניה	118	1,500,000
38	29/07/2021	סנש חנה 4	מוצקין הותיקה	10429	91	דירה בבית קומות	4	שניה	99	900,000
39	28/07/2021	"רנ""ס 8"	מוצקין הותיקה	10428	161	דירה בבית קומות	1	ראשונה	26	390,000
40	27/07/2021	ההגנה 32	מוצקין הותיקה	10428	131	דירת גן	2	ראשונה	30	485,000
41	26/07/2021	רוקח 15	מוצקין הותיקה	11562	26	דירה בבית קומות	5	רביעית	115	1,660,000
42	26/07/2021	יעל 33	מוצקין הותיקה	10430	413	דירה בבית קומות	4	שלישית	100	965,000
43	26/07/2021	"רנ""ס 8"	מוצקין הותיקה	10429	136	דירה בבית קומות	3	שלישית	87	860,000
44	26/07/2021	אוסישקין 42	מוצקין הותיקה	11564	162	דירה	5	חמישית	133	1,930,000
45	25/07/2021	ציפורן 2	מוצקין הותיקה	11562	26	דירה	5		115	1,660,000
46	25/07/2021	ההגנה 28	מוצקין הותיקה	10428	14	דירה בבית קומות	2	קרקע	70	680,000
47	22/07/2021	אוסישקין 7	מוצקין הותיקה	11562	115	דירה בבית קומות	1	שלישית	24	390,000
48	20/07/2021	אוסישקין 7	מוצקין הותיקה	10429	99	דירה בבית קומות	4	רביעית	103	1,000,000
49	16/07/2021	עכו 89	מוצקין הותיקה	11577	16	דירה	5		119	1,630,000
50	16/07/2021	עכו 89	מוצקין הותיקה	11577	16	דירה בבית קומות	5	שניה	119	1,635,000
51	14/07/2021	ההגנה 38	מוצקין הותיקה	10429	91	דירה בבית קומות	4	שניה	66	553,000
52	14/07/2021	גושן משה 14	מוצקין הותיקה	10429	91	דירה בבית קומות	4	שניה	66	276,000
53	14/07/2021	אהרון 33	מוצקין הותיקה	10430	274	דירה בבית קומות	4	ראשונה	112	1,000,000
54	12/07/2021	ההגנה 28	מוצקין הותיקה	11562	68	דירה בבית קומות	4	שניה	101	890,000
55	08/07/2021	ברק 8	מוצקין הותיקה	11577	21	דירה בבית קומות	4	ראשונה	82	995,000
56	08/07/2021	יעל 12	מוצקין הותיקה	10429	99	דירה בבית קומות	5	ראשונה	125	1,290,000
57	07/07/2021	הקרב 1	מוצקין הותיקה	11577	73	דירה בבית קומות	4	שניה	103	888,000
58	06/07/2021	גורדון 11	מוצקין הותיקה	11577	39	דירה בבית קומות	5	ראשונה	130	1,200,000
59	06/07/2021	ההגנה 22	מוצקין הותיקה	11577	139	דירה בבית קומות	4	קרקע	120	1,430,000
60	29/06/2021	עכו 103	מוצקין הותיקה	10430	371	דירת גן	4	קרקע	101	1,260,000
61	29/06/2021	הרב הרצוג 26	מוצקין הותיקה	10428	101	דירה בבית קומות	3	ראשונה 1	110	910,000
62	25/06/2021	דבורה 36	מוצקין הותיקה	10429	102	דירה	4	ראשונה	78	1,285,000
63	20/06/2021	סנש חנה 19	מוצקין הותיקה	10430	550	דירה בבית קומות	3	ראשונה	98	810,000
64	14/06/2021	אושה 13	מוצקין הותיקה	10430	415	דירה בבית קומות	3	שלישית	89	790,000
65	13/06/2021	עכו 81	מוצקין הותיקה	11577	79	דירה בבית קומות	3	שלישית	90	760,000
66	10/06/2021	גושן משה 14	מוצקין הותיקה	10428	158	דירה בבית קומות	2	קרקע	48	520,000
67	09/06/2021	כצנלסון 13	מוצקין הותיקה	11562	67	דירה בבית קומות	3	קרקע	97	1,300,000
68	06/06/2021	כצנלסון 23	מוצקין הותיקה	10429	85	דירה בבית קומות	4	שלישית	80	815,000
69	03/06/2021	סנש חנה 13	מוצקין הותיקה	11562	68	דירה בבית קומות	4	שלישית	75	810,000
70	03/06/2021	ויצמן 12	מוצקין הותיקה	11577	112	דירה בבית קומות	3	שניה	61	832,000
71	02/06/2021	אוסישקין 44	מוצקין הותיקה	11577	107	דירה בבית קומות	4	שלישית	90	1,050,000
72	26/05/2021	סנש חנה 12	מוצקין הותיקה	10428	155	דירה בבית קומות	1	ראשונה	26	420,000
73	25/05/2021	"רנ""ס 7"	מוצקין הותיקה	10428	144	דירה בבית קומות	2	קרקע	75	880,000
74	25/05/2021	יעל 12	מוצקין הותיקה	10428	132	דירה בבית קומות	2	ראשונה	61	620,000
75	25/05/2021	קרן קימת 29	מוצקין הותיקה	10428	133	דירה בבית קומות	3	קרקע	52	636,000
76	24/05/2021	ויצמן 66	מוצקין הותיקה	11562	4	דירה בבית קומות	6	ראשונה	137	1,375,000
77	23/05/2021	ויצמן 62	מוצקין הותיקה	11577	39	דירה בבית קומות	1	קרקע	25	600,000
78	20/05/2021	אהרון 3	מוצקין הותיקה	11564	129	דירה בבית קומות	3	קרקע	70	1,100,000
79	20/05/2021	ההגנה 22	מוצקין הותיקה	10430	434	דירה בבית קומות	4	שניה	90	1,060,000
80	20/05/2021	יעל 29	מוצקין הותיקה	10430	436	דירה בבית קומות	5	רביעית	180	1,520,000
81	15/05/2021	אוסישקין 8	מוצקין הותיקה	11577	68	דירה בבית קומות	3	ראשונה	107	880,000
82	14/05/2021	רוקח 17	מוצקין הותיקה	10429	102	דירה	4	רביעית	111	1,600,000
83	13/05/2021	הילדים 32	מוצקין הותיקה	11564	160	דירה בבית קומות	4	שניה	109	1,280,000
84	13/05/2021	אהרון 13	מוצקין הותיקה	10429	122	דירה בבית קומות	3	קרקע	87	1,060,000
85	12/05/2021	אוסישקין 24	מוצקין הותיקה	10429	137	דירה בבית קומות	4	שניה	89	890,000
86	10/05/2021	אוסישקין 42	מוצקין הותיקה	10428	32	דירה בבית קומות	3	שניה	46	650,000
87	09/05/2021	ההגנה 14	מוצקין הותיקה	11577	65	דירה בבית קומות	3	שלישית	72	850,000
88	06/05/2021	רוקח 4	מוצקין הותיקה	10428	52	דירה בבית קומות	4	שניה	100	920,000
89	06/05/2021	אהרון 34	מוצקין הותיקה	10428	14	דירה בבית קומות	2	קרקע	52	355,000
90	05/05/2021	ויצמן 14	מוצקין הותיקה	10429	92	דירה בבית קומות	3	שלישית	75	855,000
91	04/05/2021	ברק 5	מוצקין הותיקה	10429	172	דירה בבית קומות	3	ראשונה	65	950,000
92	03/05/2021	ברק 35	מוצקין הותיקה	11577	134	דירה בבית קומות	4	שניה	118	1,375,000
93	02/05/2021	ברק 21	מוצקין הותיקה	10428	144	דירת גן	2	ראשונה	46	695,000
94	29/04/2021	ההגנה 30	מוצקין הותיקה	11562	95	דירה בבית קומות	4	שניה	98	1,600,000
95	28/04/2021	רוקח 4	מוצקין הותיקה	11562	33	דירה בבית קומות	7	קרקע ראשונה שניה	321	2,950,000
96	27/04/2021	כצנלסון 21	מוצקין הותיקה	11562	49	דירה בבית קומות	5	ראשונה+שניה	134	1,265,000
97	27/04/2021	עכו 29	מוצקין הותיקה	10429	98	דירה בבית קומות	4	שניה	96	900,000
98	27/04/2021	"הפלמ""ח 6"	מוצקין הותיקה	10429	172	דירה בבית קומות	3	שלישית	77	850,000
99	23/04/2021	ההגנה 6	מוצקין הותיקה	11577	108	דירה בבית קומות	4	ראשונה	90	2,200,000
100	22/04/2021	ויצמן 72	מוצקין הותיקה	11562	124	דירה בבית קומות	2	קרקע	60	615,000
101	14/04/2021	ברק 48	מוצקין הותיקה	10429	125	דירה בבית קומות	4	ראשונה	114	965,000
102	14/04/2021	אורן 17	מוצקין הותיקה	10429	79	דירה בבית קומות	2	קרקע	50	1,500,000
103	13/04/2021	ההגנה 9	מוצקין הותיקה	10430	249	דירה בבית קומות	3	שניה	93	1,160,000
104	13/04/2021	ציפורן 2	מוצקין הותיקה	11564	151	דירה בבית קומות	4	ראשונה	88	1,400,000
105	11/04/2021	כצנלסון 13	מוצקין הותיקה	10429	171	דירה בבית קומות	3	שלישית	48	680,000
106	11/04/2021	"הפלמ""ח 6"	מוצקין הותיקה	10429	117	דירה בבית קומות	4	שניה	83	880,000
107	09/04/2021	אושה 33	מוצקין הותיקה	11562	115	דירה בבית קומות	1	ראשונה	24	460,000
108	06/04/2021	ברק 62	מוצקין הותיקה	11577	112	דירה בבית קומות	3	שלישית	60	730,000
109	05/04/2021	גורדון 11	מוצקין הותיקה	10429	125	דירה בבית קומות	4	ראשונה	91	910,000
110	05/04/2021	הרב הרצוג 2	מוצקין הותיקה	11562	21	דירה בבית קומות	4	שניה	107	1,030,000
111	05/04/2021	אהרון 28	מוצקין הותיקה	11564	144	דירה בבית קומות	5	ראשונה	88	850,000
112	05/04/2021	יעל 12	מוצקין הותיקה	10430	371	דירה בבית קומות	4	חמישית	94	1,270,000
113	02/04/2021	ברק 24	מוצקין הותיקה	10428	33	דירה בבית קומות	2	ראשונה	49	640,000
114	01/04/2021	ההגנה 21	מוצקין הותיקה	11577	131	דירה בבית קומות	4	שניה	134	1,200,000
115	31/03/2021	הילדים 21	מוצקין הותיקה	11577	39	דירת גן	2	ראשונה	23	450,000
116	30/03/2021	אוסישקין 7	מוצקין הותיקה	11577	64	דירה בבית קומות	5	קרקע	125	1,400,000
117	26/03/2021	אוסישקין 7	מוצקין הותיקה	10429	111	דירה בבית קומות	3	ראשונה	69	1,150,000
118	25/03/2021	"רנ""ס 15"	מוצקין הותיקה	10428	30	דירה בבית קומות	3	קומה ‎2‏	79	705,000
119	22/03/2021	סנש חנה 7	מוצקין הותיקה	11577	16	דירת גן	5	רביעית	119	1,655,000
120	22/03/2021	רוקח 2	מוצקין הותיקה	11577	16	דירה	5		119	1,650,000
121	17/03/2021	דבורה 32	מוצקין הותיקה	11564	105	דירה בבית קומות	4	שלישית	110	1,110,000
122	17/03/2021	כצנלסון 15	מוצקין הותיקה	11577	42	דירה בבית קומות	4	רביעית	90	1,185,000
123	15/03/2021	ההגנה 9	מוצקין הותיקה	10428	152	דירה בבית קומות	1	ראשונה	40	390,000
124	15/03/2021	כצנלסון 17	מוצקין הותיקה	10429	116	דירה בבית קומות	4	שניה	91	970,000
125	14/03/2021	אושה 19	מוצקין הותיקה	11577	77	דירה בבית קומות	4	קרקע	89	1,280,000
126	11/03/2021	ברק 9	מוצקין הותיקה	11577	111	דירה בבית קומות	5	רביעית וחמישית	108	1,220,000
127	09/03/2021	ההגנה 18	מוצקין הותיקה	10429	117	דירה בבית קומות	3	קרקע וראשונה	87	735,000
128	08/03/2021	ברק 38	מוצקין הותיקה	11577	110	דירת גן	6	ראשונה	116	1,340,000
129	04/03/2021	אושה 29	מוצקין הותיקה	11562	60	דירה בבית קומות	3	קרקע וראשונה	78	915,000
130	04/03/2021	"הפלמ""ח 6"	מוצקין הותיקה	11562	91	דירה בבית קומות	4	שניה	89	830,000
131	03/03/2021	גורדון 10	מוצקין הותיקה	10429	104	דירה בבית קומות	4	שלישית	102	814,000
132	03/03/2021	ברק 24	מוצקין הותיקה	11577	50	דירה בבית קומות	3	שניה	87	960,000
133	01/03/2021	ההגנה 37	מוצקין הותיקה	11562	25	ללא תיכנון		שניה	6	58,000
134	01/03/2021	ההגנה 24	מוצקין הותיקה	10429	125	דירה בבית קומות	4	ראשונה	101	950,000
135	24/02/2021	גורדון 15	מוצקין הותיקה	10430	391	דירה בבית קומות	4	שלישית	70	690,000
136	24/02/2021	כצנלסון 19	מוצקין הותיקה	11577	64	דירה בבית קומות	4	קרקע	90	1,080,000
137	23/02/2021	אושה 12	מוצקין הותיקה	10430	282	דירה בבית קומות	4	ראשונה	112	1,050,000
138	21/02/2021	סנש חנה 21	מוצקין הותיקה	10429	101	דירה בבית קומות	3	שלישית	70	900,000
139	21/02/2021	סנש חנה 5	מוצקין הותיקה	10430	430	דירה בבית קומות	4	קרקע	122	1,220,000
140	18/02/2021	הקרב 6	מוצקין הותיקה	11577	109	דירה בבית קומות	3	שלישית	72	715,000
141	18/02/2021	ברק 24	מוצקין הותיקה	11562	90	דירה בבית קומות	5	שלישית	110	900,000
142	18/02/2021	אוסישקין 44	מוצקין הותיקה	10430	428	דירה	4		93	1,200,000
143	17/02/2021	ברק 54	מוצקין הותיקה	10428	159	דירה בבית קומות	2	ראשונה	26	350,000
144	15/02/2021	ויצמן 28	מוצקין הותיקה	10428	151	דירה בבית קומות	2	קרקע	26	540,000
145	15/02/2021	ההגנה 38	מוצקין הותיקה	10430	428	דירה	4		93	1,200,000
146	14/02/2021	אוסישקין 7	מוצקין הותיקה	11577	86	דירה בבית קומות	3	ראשונה	51	325,000
147	14/02/2021	אוסישקין 7	מוצקין הותיקה	11577	64	דירה בבית קומות	6	קרקע	110	1,700,000
148	11/02/2021	גורדון 10	מוצקין הותיקה	10428	132	דירת גן	2	שניה	47	555,000
149	11/02/2021	אהרון 18	מוצקין הותיקה	11564	148	דירה בבית קומות	5	קרקע,ראשו,שניה,שלישי	148	1,595,000
150	10/02/2021	עכו 51	מוצקין הותיקה	10428	142	דירת גן	2	שניה	46	680,000
151	10/02/2021	אוסישקין 31	מוצקין הותיקה	11562	111	דירה בבית קומות	1	שלישית	24	400,000
152	07/02/2021	אוסישקין 14	מוצקין הותיקה	10430	274	דירה בבית קומות	4	שניה	112	870,000
153	05/02/2021	עכו 123	מוצקין הותיקה	11577	16	דירת גן	5		133	2,250,000
154	05/02/2021	רוקח 10	מוצקין הותיקה	11577	16	דירה בבית קומות	5	ראשונה	133	2,255,000
155	02/02/2021	רוקח 19	מוצקין הותיקה	10430	391	דירה בבית קומות	3	ראשונה	79	805,000
156	01/02/2021	סנש חנה 9	מוצקין הותיקה	11577	126	דירה בבית קומות	4	שניה	110	1,065,000
157	28/01/2021	ברק 37	מוצקין הותיקה	11577	90	דירה בבית קומות	3	שניה	61	685,000
158	25/01/2021	גושן משה 80	מוצקין הותיקה	10428	135	דירה בבית קומות	2	שניה	70	690,000
159	25/01/2021	גורדון 17	מוצקין הותיקה	10429	127	דירה בבית קומות	3	קרקע	70	909,000
160	18/01/2021	כצנלסון 23	מוצקין הותיקה	10430	245	דירת גן	3	ראשונה	62	650,000
161	15/01/2021	אושה 11	מוצקין הותיקה	10429	170	דירה בבית קומות	3	שניה	54	650,000
162	14/01/2021	גורדון 7	מוצקין הותיקה	10429	138	דירה בבית קומות	3	שניה	72	870,000
163	11/01/2021	סנש חנה 11	מוצקין הותיקה	10428	153	דירה בבית קומות	1	קרקע	26	450,000
164	06/01/2021	"רנ""ס 8"	מוצקין הותיקה	11562	31	דירה בבית קומות	6	ראשונה	204	1,770,000
165	04/01/2021	הילדים 16	מוצקין הותיקה	11564	91	דירה בבית קומות	4	שניה	114	1,540,000
166	03/01/2021	הקרב 1	מוצקין הותיקה	10430	542	דירה בבית קומות	4	שניה	75	900,000
167	31/12/2020	הילדים 15	מוצקין הותיקה	11577	107	דירה בבית קומות	5	קרקע+ראשונה	99	1,123,000
168	31/12/2020	כצנלסון 15	מוצקין הותיקה	11562	69	דירה בבית קומות	3	קרקע	73	937,000
169	29/12/2020	גורדון 9	מוצקין הותיקה	10430	369	דירה	4		103	1,600,000
170	28/12/2020	ברק 18	מוצקין הותיקה	10428	154	דירה בבית קומות	2	ראשונה	26	325,000
171	27/12/2020	ברק 18	מוצקין הותיקה	11562	26	עסק	1		72	2,398,500
172	26/12/2020	אוסישקין 3	מוצקין הותיקה	10428	138	דירה בבית קומות	2	קרקע	31	480,000
173	25/12/2020	ויצמן 68	מוצקין הותיקה	11577	139	דירה בבית קומות	3	קרקע	68	710,000
174	24/12/2020	רוקח 25	מוצקין הותיקה	10428	68	דירה בבית קומות	5	שלישית	132	1,400,000
175	21/12/2020	הקרב 1	מוצקין הותיקה	11562	111	דירה בבית קומות	1	ראשונה	24	360,000
176	18/12/2020	סנש חנה 12	מוצקין הותיקה	11577	111	דירה בבית קומות	4	שניה	86	1,100,000
177	17/12/2020	אושה 33	מוצקין הותיקה	10430	370	דירה בבית קומות	3	ראשונה	80	880,000
178	15/12/2020	הילדים 16	מוצקין הותיקה	11577	67	קרקע למגורים			1	1,763,000
179	15/12/2020	קרן קימת 37	מוצקין הותיקה	11577	67	קרקע למגורים			85	2,337,000
180	13/12/2020	ההגנה 22	מוצקין הותיקה	11577	135	מסחרי + מגורים			860	1,200,000
181	10/12/2020	אהרון 25	מוצקין הותיקה	10430	247	דירת גן	5	רביעית	100	1,000,000
182	09/12/2020	ההגנה 22	מוצקין הותיקה	10429	141	דירה בבית קומות	4	שניה	88	913,000
183	07/12/2020	הקרב 6	מוצקין הותיקה	11577	139	דירה בבית קומות	3	קרקע	58	900,000
184	04/12/2020	אוסישקין 44	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	51	500,000
185	04/12/2020	כצנלסון 23	מוצקין הותיקה	11562	21	דירה בבית קומות	4	שלישית, רביעית	119	1,100,000
186	02/12/2020	אושה 1	מוצקין הותיקה	10428	138	דירת גן	2	ראשונה	26	420,000
187	02/12/2020	אושה 25	מוצקין הותיקה	11564	153	דירת גן	5	שניה+שלישית+רביעית	130	1,150,000
188	29/11/2020	עכו 87	מוצקין הותיקה	10429	102	דירה	4	שניה	102	1,450,000
189	29/11/2020	גושן משה 38	מוצקין הותיקה	11577	31	דירה בבית קומות	5	קרקע	178	2,150,000
190	29/11/2020	ציפורן 2	מוצקין הותיקה	10429	102	דירה	4	ראשונה	117	1,550,000
191	26/11/2020	יעל 13	מוצקין הותיקה	11577	86	דירה בבית קומות	3	קרקע	65	635,000
192	26/11/2020	העליה 3	מוצקין הותיקה	10428	132	דירה בבית קומות	2	ראשונה	62	455,000
193	26/11/2020	רוקח 4	מוצקין הותיקה	11577	107	דירה בבית קומות	4	שלישית	1	900,000
194	24/11/2020	"רנ""ס 7"	מוצקין הותיקה	11562	102	דירה	4	שלישית	121	1,700,000
195	24/11/2020	סנש חנה 18	מוצקין הותיקה	11562	54	דירה בבית קומות	5	קרקע , ראשונה	123	1,180,000
196	23/11/2020	גורדון 17	מוצקין הותיקה	10430	428	דירה	4		98	1,600,000
197	22/11/2020	אהרון 20	מוצקין הותיקה	10429	90	דירה בבית קומות	3	שניה	87	800,000
198	18/11/2020	יעל 21	מוצקין הותיקה	11562	22	דירה בבית קומות	4	שלישית	90	758,000
199	15/11/2020	כצנלסון 5	מוצקין הותיקה	11562	115	חנות		ראשונה	23	510,000
200	05/11/2020	"רנ""ס 8"	מוצקין הותיקה	11577	48	דירה בבית קומות	4	שנייה	114	1,440,000
201	27/10/2020	עכו 29	מוצקין הותיקה	10428	123	דירה בבית קומות	1	קרקע	33	680,000
202	22/10/2020	ההגנה 50	מוצקין הותיקה	10429	172	דירה בבית קומות	3	רביעית	65	321,000
203	15/10/2020	אושה 1	מוצקין הותיקה	11562	4	דירה בבית קומות	3	ראשונה	58	860,000
204	13/10/2020	עכו 89	מוצקין הותיקה	10428	70	דירה בבית קומות	3	ראשונה	55	600,000
205	13/10/2020	סנש חנה 19	מוצקין הותיקה	10430	542	חנות		קרקע	46	685,000
206	12/10/2020	אהרון 31	מוצקין הותיקה	11577	127	דירה בבית קומות	4	ראשונה	108	880,000
207	12/10/2020	כצנלסון 21	מוצקין הותיקה	11564	156	דירת גן	3	ראשונה	73	940,000
208	08/10/2020	רמז 3	מוצקין הותיקה	11577	116	דירה בבית קומות	4	ראשונה ושניה	113	1,100,000
209	07/10/2020	עכו 59	מוצקין הותיקה	11562	26	דירה	5	ראשונה	114	1,650,000
210	29/09/2020	עכו 87	מוצקין הותיקה	11562	124	דירת גן	2	שניה	50	480,000
211	24/09/2020	הרב הרצוג 2	מוצקין הותיקה	10430	546	דירה בבית קומות	4	שניה	109	1,170,000
212	22/09/2020	גושן משה 80	מוצקין הותיקה	11562	102	דירה	3		79	1,200,000
213	22/09/2020	אושה 15	מוצקין הותיקה	10429	91	דירה בבית קומות	3.5	ראשונה	68	910,000
214	16/09/2020	כצנלסון 11	מוצקין הותיקה	10428	158	דירה בבית קומות	1	ראשונה	26	360,000
215	15/09/2020	ברק 33	מוצקין הותיקה	11577	24	דירה בבית קומות	4	ראשונה	70	840,000
216	15/09/2020	ציפורן 2	מוצקין הותיקה	11577	108	דירה בבית קומות	3.5	ראשונה	99	765,000
217	11/09/2020	עכו 83	מוצקין הותיקה	11577	10	דירה בבית קומות	4	ראשונה	103	890,000
218	10/09/2020	רוקח 3	מוצקין הותיקה	11577	96	דירה בבית קומות	3	שניה	69	800,000
219	09/09/2020	כצנלסון 25	מוצקין הותיקה	10429	90	דירה בבית קומות	3	שלישית	96	795,000
220	08/09/2020	גושן משה 30	מוצקין הותיקה	10428	33	דירה בבית קומות	2	שניה	39	700,000
221	02/09/2020	עכו 55	מוצקין הותיקה	11564	91	דירה בבית קומות	4	שמינית	94	1,560,000
222	31/08/2020	דבורה 28	מוצקין הותיקה	11562	64	דירה בבית קומות	4	שלישית	107	1,480,000
223	30/08/2020	אהרון 33	מוצקין הותיקה	11577	113	דירה בבית קומות	3	ראשונה	85	940,000
224	27/08/2020	אוסישקין 24	מוצקין הותיקה	11562	35	קוטג' טורי	4.5	שלישית + רביעית	130	1,440,000
225	27/08/2020	סנש חנה 10	מוצקין הותיקה	11562	115	דירה בבית קומות	1	שניה	25	290,000
226	19/08/2020	העליה 7	מוצקין הותיקה	10429	86	דירה בבית קומות	4	שלישית	79	685,000
227	19/08/2020	גושן משה 6	מוצקין הותיקה	10429	130	דירה בבית קומות	4	רביעית	104	750,000
228	19/08/2020	ברק 24	מוצקין הותיקה	11577	106	דירה בבית קומות	4	שניה	98	850,000
229	18/08/2020	רוקח 13	מוצקין הותיקה	11562	53	דירה בבית קומות	6	חמישית	195	1,320,000
230	18/08/2020	הקרב 6	מוצקין הותיקה	11577	92	דירה בבית קומות	3	ראשונה	60	700,000
231	13/08/2020	הילדים 21	מוצקין הותיקה	11562	106	דירה בבית קומות	5	חמישית	119	1,370,000
232	09/08/2020	אהרון 3	מוצקין הותיקה	11577	21	דירה בבית קומות	4	ראשונה	78	1,150,000
233	05/08/2020	אושה 30	מוצקין הותיקה	10428	52	דירה בבית קומות	5.5	קרקע + ראשונה	133	1,300,000
234	04/08/2020	יעל 2	מוצקין הותיקה	10428	133	דירה בבית קומות	3	קרקע	60	650,000
235	02/08/2020	רוקח 4	מוצקין הותיקה	10428	124	דירה בבית קומות	2	ראשונה	37	680,000
236	02/08/2020	גושן משה 84	מוצקין הותיקה	11562	76	דירה בבית קומות	4	ראשונה	81	1,100,000
237	28/07/2020	אושה 27	מוצקין הותיקה	11577	64	דירה בבית קומות	4	קרקע	108	1,335,000
238	23/07/2020	סנש חנה 21	מוצקין הותיקה	10429	135	דירה בבית קומות	4	ראשונה	110	790,000
239	21/07/2020	ברק 27	מוצקין הותיקה	11577	86	דירה בבית קומות	4	ראשונה	87	1,090,000
240	20/07/2020	ההגנה 32	מוצקין הותיקה	10428	30	דירה בבית קומות	3	שניה	52	640,000
241	17/07/2020	יעל 29	מוצקין הותיקה	11577	68	דירה בבית קומות	3	קרקע	110	1,100,000
242	16/07/2020	אהרון 18	מוצקין הותיקה	11562	44	דירה בבית קומות	5	קרקע,ראשונה	121	1,320,000
243	15/07/2020	קרן קימת 31	מוצקין הותיקה	11577	34	דירה בבית קומות	3.5	ראשונה	64	960,000
244	14/07/2020	ציפורן 2	מוצקין הותיקה	10429	172	דירה בבית קומות	3	שלישית	65	712,000
245	12/07/2020	רוקח 13	מוצקין הותיקה	11564	89	דירה בבית קומות	5	שניה	130	1,160,000
246	07/07/2020	גושן משה 36	מוצקין הותיקה	11562	51	דירה בבית קומות	3	ראשונה	90	910,000
247	01/07/2020	אושה 5	מוצקין הותיקה	10428	159	דירה בבית קומות	1	קרקע	26	281,000
248	28/06/2020	"רנ""ס 37"	מוצקין הותיקה	11562	43	דירה בבית קומות	4	קרקע	148	1,412,000
