	sale date	address	neighborhood	gush	helka	asset-type	rooms	floor	area	price
627	05/03/2018	ברק 63	מוצקין הותיקה	11577	34	דירה בבית קומות	3	ראשונה	70	919,000
628	04/03/2018	ההגנה 14	מוצקין הותיקה	10428	141	דירה בבית קומות	2	קרקע	26	300,000
629	04/03/2018	קרן קימת 51	מוצקין הותיקה	11577	131	דירה בבית קומות	3.5	קרקע	68	1,135,000
630	26/02/2018	ברק 40	מוצקין הותיקה	11564	125	דירה	4	קומה ‎2‏	84	1,330,000
631	21/02/2018	העליה 3	מוצקין הותיקה	10429	78	דירה בבית קומות	4	קרקע	89	1,200,000
632	20/02/2018	ויצמן 52	מוצקין הותיקה	10430	245	דירה בבית קומות	3	שניה	70	720,000
633	18/02/2018	ברק 15	מוצקין הותיקה	10429	95	דירה בבית קומות	3	ראשונה	66	750,000
634	15/02/2018	ויצמן 68	מוצקין הותיקה	11562	120	דירה בבית קומות	2	שניה	58	560,000
635	15/02/2018	עכו 43	מוצקין הותיקה	10430	415	דירה בבית קומות	3	רביעית	88	750,000
636	12/02/2018	סנש חנה 10	מוצקין הותיקה	10428	120	דירה בבית קומות	2	קרקע	60	650,000
637	08/02/2018	גורדון 6	מוצקין הותיקה	11562	111	דירה בבית קומות	2	שלישית	25	360,000
638	06/02/2018	"רנ""ס 16"	מוצקין הותיקה	11562	66	דירה בבית קומות	3.5	ראשונה	71	990,000
639	06/02/2018	ההגנה 30	מוצקין הותיקה	11562	98	דירה בבית קומות	3.5	ראשונה	86	880,000
640	06/02/2018	סנש חנה 25	מוצקין הותיקה	11562	53	חנות			68	1,500,000
641	06/02/2018	"רנ""ס 16"	מוצקין הותיקה	11577	64	דירה בבית קומות	4	שניה	104	1,360,000
642	05/02/2018	עכו 111	מוצקין הותיקה	10428	160	דירה בבית קומות	2	קרקע	24	625,000
643	05/02/2018	הילדים 21	מוצקין הותיקה	11577	24	דירה בבית קומות	3.5	שניה	95	1,000,000
644	04/02/2018	אושה 1	מוצקין הותיקה	11564	110	דירה בבית קומות	5	קרקע,ראשנה,שניה	135	1,750,000
645	01/02/2018	כצנלסון 13	מוצקין הותיקה	11564	125	דירה בבית קומות	5	קומה ‎5‏	140	2,500,000
646	31/01/2018	"רנ""ס 7"	מוצקין הותיקה	11564	125	דירת גג (פנטהאוז)	5	רביעית	140	2,500,000
647	28/01/2018	"רנ""ס 16"	מוצקין הותיקה	11577	133	דירה בבית קומות	4	ראשונה	118	1,215,000
648	28/01/2018	אושה 19	מוצקין הותיקה	11577	87	דירה בבית קומות	4	ראשונה	85	932,000
649	24/01/2018	סנש חנה 5	מוצקין הותיקה	11562	74	דירה בבית קומות	4	שניה	84	950,000
650	18/01/2018	אושה 1	מוצקין הותיקה	10430	384	דירה בבית קומות	2.5	ראשונה	77	750,000
651	16/01/2018	אושה 37	מוצקין הותיקה	11564	159	דירה בבית קומות	5	מרתף+קרקע	154	1,740,000
652	14/01/2018	"רנ""ס 16"	מוצקין הותיקה	10429	170	דירה בבית קומות	3	שניה	60	645,000
653	14/01/2018	הילדים 11	מוצקין הותיקה	11577	55	דירה בבית קומות	4	שניה	91	1,230,000
654	14/01/2018	הילדים 11	מוצקין הותיקה	10428	138	דירה בבית קומות	2	ראשונה	36	460,000
655	11/01/2018	אושה 33	מוצקין הותיקה	11562	84	דירה בבית קומות	4	שלישית	100	1,579,000
656	10/01/2018	"רנ""ס 16"	מוצקין הותיקה	10428	152	דירה בבית קומות	1	ראשונה	26	350,000
657	10/01/2018	"רנ""ס 19"	מוצקין הותיקה	11562	84	דירה	4		100	1,580,000
658	08/01/2018	אוסישקין 36	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	35	345,000
659	04/01/2018	ההגנה 16	מוצקין הותיקה	11577	89	דירה בבית קומות	4	שלישית	79	890,000
660	04/01/2018	סנש חנה 9	מוצקין הותיקה	10428	94	דירה בבית קומות	3	קרקע	74	890,000
661	03/01/2018	עכו 91	מוצקין הותיקה	10429	92	דירה בבית קומות	4	שלישית	65	695,000
662	28/12/2017	הילדים 13	מוצקין הותיקה	11577	17	דירה בבית קומות	3	קרקע	65	550,000
663	27/12/2017	כצנלסון 6	מוצקין הותיקה	11577	49	דירה בבית קומות	5.5	קרקע,ראשונה,שניה	134	1,450,000
664	27/12/2017	ההגנה 12	מוצקין הותיקה	10428	123	דירה בבית קומות	2	ראשונה	25	290,000
665	27/12/2017	אוסישקין 20	מוצקין הותיקה	10430	419	דירה בבית קומות	4	שניה	115	935,000
666	25/12/2017	גושן משה 30	מוצקין הותיקה	11562	84	דירה	3	חמישית	79	940,000
667	22/12/2017	סנש חנה 4	מוצקין הותיקה	10430	247	דירה בבית קומות	4	ראשונה	94	945,000
668	21/12/2017	סנש חנה 12	מוצקין הותיקה	11577	140	משרד		קרקע	50	480,000
669	19/12/2017	יעל 29	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	35	345,000
670	19/12/2017	גושן משה 40	מוצקין הותיקה	10430	284	משרד		ראשונה	325	2,094,000
671	18/12/2017	ההגנה 24	מוצקין הותיקה	11564	125	דירה	5	רביעית	110	1,765,000
672	18/12/2017	כצנלסון 1	מוצקין הותיקה	10429	98	דירה בבית קומות	3.5	שניה	71	825,000
673	17/12/2017	ציפורן 2	מוצקין הותיקה	10428	161	דירה בבית קומות	1	ראשונה	27	345,000
674	17/12/2017	אוסישקין 44	מוצקין הותיקה	11564	125	דירה	5	קומה ‎3‏	110	1,750,000
675	17/12/2017	דבורה 28	מוצקין הותיקה	10430	385	דירה בבית קומות	3	שלישית	68	700,000
676	12/12/2017	"רנ""ס 16"	מוצקין הותיקה	10428	30	דירה בבית קומות	3	רביעית	70	560,000
677	04/12/2017	אושה 30	מוצקין הותיקה	11562	102	קוטג' דו משפחתי	5	קרקע + ראשונה	92	1,260,000
678	04/12/2017	דבורה 28	מוצקין הותיקה	11577	112	דירה בבית קומות	3	שניה	60	802,000
679	03/12/2017	ויצמן 58	מוצקין הותיקה	11562	4	דירה בבית קומות	3	ראשונה	57	860,000
680	30/11/2017	ציפורן 2	מוצקין הותיקה	11564	125	דירה	5	קומה ‎4‏	110	1,765,000
681	26/11/2017	סנש חנה 19	מוצקין הותיקה	11562	60	דירה בבית קומות	5	שניה ושלישית	138	1,120,000
682	23/11/2017	ויצמן 58	מוצקין הותיקה	11562	111	דירה בבית קומות	2	שלישית	30	405,000
683	22/11/2017	דבורה 18	מוצקין הותיקה	10428	151	דירה בבית קומות	1	קרקע	26	380,000
684	21/11/2017	ויצמן 12	מוצקין הותיקה	11562	102	דירה בבית קומות	2	שניה	54	640,000
685	19/11/2017	סנש חנה 17	מוצקין הותיקה	11562	17	דירה בבית קומות	3	קרקע	77	850,000
686	17/11/2017	ברק 26	מוצקין הותיקה	11564	125	דירה	3	קומה ‎2‏	60	1,150,000
687	15/11/2017	קרן קימת 36	מוצקין הותיקה	10428	66	דירה בבית קומות	5	קומה ‎2‏	118	1,380,000
688	14/11/2017	דבורה 30	מוצקין הותיקה	10428	66	דירה	5		119	1,380,000
689	14/11/2017	רוקח 21	מוצקין הותיקה	11562	21	דירה בבית קומות	4	שלישית, רביעית	119	1,100,000
690	05/11/2017	"רנ""ס 16"	מוצקין הותיקה	11564	125	דירה	5	קומה ‎1‏	110	1,720,000
691	01/11/2017	הילדים 15	מוצקין הותיקה	11564	107	דירה בבית קומות	5.5	ראשונה	144	2,080,000
692	30/10/2017	דבורה 28	מוצקין הותיקה	10428	88	דירה בבית קומות	4	שניה	94	950,000
693	30/10/2017	יעל 29	מוצקין הותיקה	10429	93	דירה בבית קומות	3.5	קרקע	75	980,000
